epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.79728,0.69748,0.84404,1,0.45061,0.000472003,0.000472003,0.000472003
2,12.8511,0.44394,0.84404,1,0.48842,0.000948105,0.000948105,0.000948105
3,15.65,0.40513,0.86239,1,0.41781,0.00142328,0.00142328,0.00142328
4,18.6693,0.37402,0.87156,1,0.30724,0.00142586,0.00142586,0.00142586
5,21.4674,0.4117,0.79817,1,0.59443,0.00142342,0.00142342,0.00142342
6,24.2208,0.33923,0.88073,1,0.29265,0.00142029,0.00142029,0.00142029
7,27.0344,0.2933,0.88991,1,0.31639,0.00141647,0.00141647,0.00141647
8,29.8558,0.30422,0.88073,1,0.32893,0.00141196,0.00141196,0.00141196
9,32.6201,0.30767,0.86239,1,0.25807,0.00140678,0.00140678,0.00140678
10,35.4403,0.27727,0.88073,1,0.32166,0.00140091,0.00140091,0.00140091
11,38.1989,0.25639,0.92661,1,0.20916,0.00139438,0.00139438,0.00139438
12,41.019,0.24668,0.92661,1,0.44581,0.00138718,0.00138718,0.00138718
13,43.8153,0.22121,0.89908,1,0.31903,0.00137933,0.00137933,0.00137933
14,46.5708,0.23103,0.92661,1,0.26359,0.00137082,0.00137082,0.00137082
15,49.4054,0.18442,0.93578,1,0.2127,0.00136168,0.00136168,0.00136168
16,52.1937,0.1942,0.92661,1,0.15438,0.0013519,0.0013519,0.0013519
17,55.0218,0.15744,0.94495,1,0.19495,0.0013415,0.0013415,0.0013415
18,57.8646,0.17101,0.93578,1,0.14675,0.0013305,0.0013305,0.0013305
19,60.7415,0.12825,0.92661,1,0.1486,0.00131888,0.00131888,0.00131888
20,63.5569,0.17682,0.91743,1,0.18101,0.00130668,0.00130668,0.00130668
21,66.3431,0.14893,0.89908,1,0.2901,0.00129391,0.00129391,0.00129391
22,69.1415,0.14821,0.92661,1,0.18374,0.00128057,0.00128057,0.00128057
23,71.954,0.15345,0.93578,1,0.12866,0.00126667,0.00126667,0.00126667
24,75.0325,0.10187,0.92661,1,0.16716,0.00125224,0.00125224,0.00125224
25,77.9769,0.10892,0.89908,1,0.18476,0.00123728,0.00123728,0.00123728
26,80.8768,0.09417,0.95413,1,0.14643,0.00122182,0.00122182,0.00122182
27,83.7346,0.11815,0.91743,1,0.26152,0.00120586,0.00120586,0.00120586
28,86.5873,0.1126,0.93578,1,0.14904,0.00118943,0.00118943,0.00118943
29,89.4878,0.09119,0.94495,1,0.12331,0.00117253,0.00117253,0.00117253
30,92.2964,0.08291,0.95413,1,0.11811,0.00115519,0.00115519,0.00115519
31,95.2468,0.1126,0.95413,1,0.14776,0.00113742,0.00113742,0.00113742
32,98.235,0.08689,0.93578,1,0.22535,0.00111924,0.00111924,0.00111924
33,101.263,0.11196,0.9633,1,0.08367,0.00110066,0.00110066,0.00110066
34,104.273,0.07688,0.95413,1,0.08312,0.00108172,0.00108172,0.00108172
35,107.377,0.09279,0.9633,1,0.08925,0.00106242,0.00106242,0.00106242
36,110.339,0.08822,0.93578,1,0.12511,0.00104278,0.00104278,0.00104278
37,113.315,0.08292,0.95413,1,0.08359,0.00102282,0.00102282,0.00102282
38,116.33,0.05689,0.95413,1,0.08082,0.00100257,0.00100257,0.00100257
39,119.275,0.05721,0.98165,1,0.07147,0.00098204,0.00098204,0.00098204
40,122.312,0.04636,0.97248,1,0.07655,0.000961253,0.000961253,0.000961253
41,125.285,0.05409,0.97248,1,0.06834,0.00094023,0.00094023,0.00094023
42,128.255,0.06033,0.9633,1,0.07993,0.000918991,0.000918991,0.000918991
43,131.222,0.02991,0.9633,1,0.08156,0.000897557,0.000897557,0.000897557
44,134.219,0.0368,0.95413,1,0.12272,0.00087595,0.00087595,0.00087595
45,137.153,0.03695,0.94495,1,0.08022,0.00085419,0.00085419,0.00085419
46,140.123,0.05667,0.9633,1,0.12785,0.0008323,0.0008323,0.0008323
47,143.091,0.04925,0.97248,1,0.08524,0.0008103,0.0008103,0.0008103
48,146.073,0.04384,0.9633,1,0.09095,0.000788213,0.000788213,0.000788213
49,149.089,0.03455,0.9633,1,0.10434,0.00076606,0.00076606,0.00076606
50,152.029,0.05568,0.94495,1,0.17118,0.000743864,0.000743864,0.000743864
51,154.983,0.05041,0.93578,1,0.15424,0.000721645,0.000721645,0.000721645
52,157.938,0.03818,0.95413,1,0.10095,0.000699426,0.000699426,0.000699426
53,160.911,0.04178,0.95413,1,0.0834,0.00067723,0.00067723,0.00067723
54,163.865,0.02805,0.9633,1,0.07037,0.000655077,0.000655077,0.000655077
55,166.77,0.02809,0.9633,1,0.10072,0.00063299,0.00063299,0.00063299
56,169.691,0.03719,0.95413,1,0.09623,0.00061099,0.00061099,0.00061099
57,172.703,0.03112,0.9633,1,0.07469,0.0005891,0.0005891,0.0005891
58,175.655,0.01949,0.9633,1,0.07326,0.00056734,0.00056734,0.00056734
59,178.588,0.02578,0.9633,1,0.11067,0.000545733,0.000545733,0.000545733
